,Week,4046,4225,4770,Total Bagged,Total Volume,Price,  Sml Bagged,  Lrg Bagged,  XLrg Bagged
489,"Jun 9, 2013","11,400,847","12,285,544","1,204,555","3,216,893","28,107,839",1.02,,,
490,"Jun 16, 2013","11,732,310","12,367,303","1,257,865","3,130,243","28,487,721",1.03,,,
491,"Jun 23, 2013","12,317,917","11,893,558","1,056,420","2,845,117","28,113,012",1.01,,,
492,"Jun 30, 2013","13,970,911","12,057,938","937,582","3,079,812","30,046,243",0.99,,,
493,"Jul 7, 2013","14,391,655","13,356,313","1,207,485","3,166,468","32,121,921",1.02,,,
494,"Jul 14, 2013","11,883,622","11,576,865","858,332","3,241,005","27,559,824",1.05,,,
495,"Jul 21, 2013","11,541,938","10,708,925","1,174,515","2,857,805","26,283,183",1.06,,,
496,"Jul 28, 2013","10,744,544","10,073,857","916,260","2,553,946","24,288,607",1.10,,,
497,"Aug 4, 2013","10,342,900","9,894,701","967,543","2,561,467","23,766,611",1.13,,,
498,"Aug 11, 2013","9,894,343","10,642,601","884,381","2,412,561","23,833,886",1.14,,,
499,"Aug 18, 2013","9,897,461","10,013,006","732,840","2,463,002","23,106,309",1.18,,,
500,"Aug 25, 2013","9,732,377","10,334,006","633,732","2,424,682","23,124,797",1.15,,,
501,"Sep 1, 2013","12,092,983","11,268,486","666,080","2,555,354","26,582,903",1.07,,,
502,"Sep 8, 2013","11,159,807","11,373,542","596,708","2,581,476","25,711,533",1.09,,,
503,"Sep 15, 2013","10,317,712","10,381,518","811,658","2,405,198","23,916,086",1.10,,,
504,"Sep 22, 2013","10,149,978","8,848,599","407,004","2,778,909","22,184,490",1.11,,,
505,"Sep 29, 2013","8,630,113","9,662,340","413,480","2,293,073","20,999,006",1.15,,,
506,"Oct 6, 2013","9,258,249","11,414,779","473,465","3,169,780","24,316,273",1.18,,,
507,"Oct 13, 2013","8,854,344","8,754,496","436,547","2,459,763","20,505,150",1.19,,,
508,"Oct 20, 2013","8,504,598","8,395,092","434,583","2,293,063","19,627,336",1.19,,,
509,"Oct 27, 2013","9,363,718","8,590,481","392,468","2,274,338","20,621,005",1.15,,,
510,"Nov 3, 2013","8,490,558","9,023,595","425,706","2,309,485","20,249,344",1.14,,,
511,"Nov 10, 2013","8,806,692","9,013,854","439,678","2,492,016","20,752,240",1.12,,,
512,"Nov 17, 2013","9,501,157","9,778,708","568,897","2,636,747","22,485,509",1.05,,,
513,"Nov 24, 2013","7,222,141","7,518,965","395,093","2,377,125","17,513,324",1.18,,,
514,"Dec 1, 2013","7,223,265","6,943,747","315,676","2,173,763","16,656,451",1.16,,,
515,"Dec 8, 2013","8,666,802","9,393,004","379,896","2,448,191","20,887,893",1.05,,,
516,"Dec 15, 2013","8,469,138","8,737,561","364,212","2,564,452","20,135,363",1.05,,,
517,"Dec 22, 2013","8,015,174","8,202,936","417,793","2,442,766","19,078,669",1.12,,,
518,"Dec 29, 2013","9,574,958","10,007,668","480,420","2,532,325","22,595,371",1.02,,,
519,"Jan 5, 2014","10,535,645","13,905,103","510,274","2,810,386","27,761,408",1.01,,,
520,"Jan 12, 2014","9,647,200","11,187,901","435,843","2,714,754","23,985,698",1.07,,,
521,"Jan 19, 2014","11,227,324","11,576,636","479,435","3,599,827","26,883,222",1.05,,,
522,"Jan 26, 2014","10,750,805","11,138,454","418,538","3,317,537","25,625,334",1.08,,,
523,"Feb 2, 2014","16,680,906","17,812,656","896,612","4,820,392","40,210,566",0.91,,,
524,"Feb 9, 2014","11,565,507","13,570,190","540,334","4,040,876","29,716,907",0.98,,,
525,"Feb 16, 2014","11,175,169","9,815,919","499,487","3,790,833","25,281,408",1.04,,,
526,"Feb 23, 2014","10,733,855","11,500,875","863,428","3,673,241","26,771,399",1.06,,,
527,"Mar 2, 2014","11,987,727","12,481,378","541,091","4,324,201","29,334,397",1.02,,,
528,"Mar 9, 2014","11,136,676","11,558,633","578,794","4,030,439","27,304,542",1.06,,,
529,"Mar 16, 2014","11,770,793","10,967,927","601,134","3,962,902","27,302,756",1.08,,,
530,"Mar 23, 2014","10,788,705","11,063,903","576,456","4,219,106","26,648,170",1.11,,,
531,"Mar 30, 2014","12,048,233","12,272,006","729,653","4,174,540","29,224,432",1.07,,,
532,"Apr 6, 2014","12,106,946","11,453,032","721,892","4,623,160","28,905,030",1.09,,,
533,"Apr 13, 2014","11,777,708","10,685,753","556,225","4,335,155","27,354,841",1.12,,,
534,"Apr 20, 2014","10,971,268","10,617,379","599,162","4,604,659","26,792,468",1.17,,,
535,"Apr 27, 2014","10,727,417","9,259,539","583,446","4,104,497","24,674,899",1.18,,,
536,"May 4, 2014","15,318,221","12,857,961","944,724","5,142,529","34,263,435",1.07,,,
537,"May 11, 2014","12,418,020","11,859,975","654,968","4,481,150","29,414,113",1.15,,,
538,"May 18, 2014","11,322,287","9,528,753","593,863","4,364,816","25,809,719",1.21,,,
539,"May 25, 2014","12,391,078","11,034,088","680,882","4,770,729","28,876,777",1.19,,,
540,"Jun 1, 2014","11,376,264","10,836,647","694,915","4,597,898","27,505,724",1.20,,,
541,"Jun 8, 2014","12,483,169","11,013,008","699,515","4,920,241","29,115,933",1.16,,,
542,"Jun 15, 2014","12,829,231","11,010,187","784,955","4,785,397","29,409,770",1.16,,,
543,"Jun 22, 2014","12,269,591","11,563,597","957,457","4,802,425","29,593,070",1.13,,,
544,"Jun 29, 2014","11,296,357","10,399,776","1,067,197","4,605,035","27,368,365",1.18,,,
545,"Jul 6, 2014","13,097,711","11,610,338","1,482,392","5,036,400","31,226,841",1.18,,,
546,"Jul 13, 2014","10,271,670","9,461,638","1,283,915","4,115,605","25,132,828",1.22,,,
547,"Jul 20, 2014","9,482,411","9,750,958","1,168,562","4,006,747","24,408,678",1.19,,,
548,"Jul 27, 2014","9,182,791","9,785,234","906,819","3,976,659","23,851,503",1.19,,,
549,"Aug 3, 2014","8,949,992","11,384,479","899,605","4,036,963","25,271,039",1.16,,,
550,"Aug 10, 2014","9,139,474","11,227,121","861,686","4,077,818","25,306,099",1.16,,,
551,"Aug 17, 2014","9,175,287","8,904,390","596,982","3,571,011","22,247,670",1.15,,,
552,"Aug 24, 2014","8,609,152","9,908,304","595,206","3,353,536","22,466,198",1.14,,,
553,"Aug 31, 2014","9,992,502","9,884,838","774,853","3,744,896","24,397,089",1.11,,,
554,"Sep 7, 2014","8,710,459","9,843,712","487,375","3,898,893","22,940,439",1.16,,,
555,"Sep 14, 2014","9,307,435","10,575,193","767,080","3,901,829","24,551,537",1.14,,,
556,"Sep 21, 2014","8,585,846","10,691,334","684,317","3,816,897","23,778,394",1.11,,,
557,"Sep 28, 2014","8,399,928","10,335,989","703,320","3,796,096","23,235,333",1.12,,,
558,"Oct 5, 2014","9,078,536","10,738,816","607,552","4,019,472","24,444,376",1.10,,,
559,"Oct 12, 2014","9,066,632","11,271,526","711,801",0,"21,049,959",1.09,,,
560,"Oct 19, 2014","10,104,281","10,808,796","629,477",0,"21,542,554",1.05,,,
561,"Oct 26, 2014","8,893,025","10,496,629","568,041",0,"19,957,695",1.07,,,
562,"Nov 2, 2014","10,077,982","10,851,011","612,688",0,"21,541,681",1.05,,,
563,12/27/2015,"9,626,901","10,197,890","1,184,340","6,288,852","27,297,984",$0.95,"4,850,404","1,252,626","185,822"
564,12/20/2015,"8,710,022","9,329,862","1,201,020","5,842,744","25,083,647",$0.98,"4,618,390","1,025,049","199,305"
565,12/13/2015,"9,855,054","10,805,839","1,016,163","6,364,280","28,041,335",$0.93,"4,964,462","1,371,440","28,377"
566,12/6/2015,"9,405,464","12,160,839","931,831","6,302,263","28,800,397",$0.89,"5,005,077","1,233,956","63,229"
567,11/29/2015,"8,094,804","9,003,178","731,008","4,789,009","22,617,999",$0.99,"3,901,953","856,560","30,496"
568,11/22/2015,"8,571,850","10,389,880","804,663","5,347,836","25,114,228",$0.96,"4,178,583","1,137,230","32,023"
569,11/15/2015,"9,907,981","11,699,788","815,642","6,174,346","28,597,756",$0.92,"4,854,619","1,283,547","36,180"
570,11/8/2015,"9,991,330","12,199,657","1,143,215","5,151,514","28,485,716",$0.97,"4,058,501","1,027,702","65,311"
571,11/1/2015,"10,138,704","14,229,287","1,410,928","5,268,565","31,047,484",$0.97,"3,966,597","1,246,220","55,748"
572,10/25/2015,"8,683,959","11,410,478","1,188,119","4,957,516","26,240,072",$1.04,"3,918,658","999,728","39,130"
573,10/18/2015,"9,162,094","14,082,540","1,220,251","4,910,239","29,375,124",$0.99,"3,930,198","952,191","27,849"
574,10/11/2015,"8,828,341","13,326,573","1,614,283","5,447,001","29,216,198",$1.00,"4,153,478","1,221,305","72,219"
575,10/4/2015,"8,353,620","13,775,652","1,209,045","4,905,189","28,243,506",$1.02,"3,664,891","1,189,350","50,948"
576,9/27/2015,"8,454,209","13,819,913","1,061,979","4,417,407","27,753,508",$1.03,"3,476,493","886,424","54,491"
577,9/20/2015,"9,422,275","13,846,045","1,112,405","5,188,361","29,569,087",$1.02,"3,938,275","1,183,732","66,355"
578,9/13/2015,"9,875,018","14,888,078","1,118,989","5,363,751","31,245,836",$1.03,"4,072,662","1,226,810","64,279"
579,9/6/2015,"12,569,277","14,245,598","1,129,771","5,581,833","33,526,480",$1.02,"4,363,708","1,184,889","33,236"
580,8/30/2015,"11,650,977","11,995,961","1,060,353","5,054,348","29,761,638",$1.07,"4,316,352","685,816","52,179"
581,8/23/2015,"11,283,021","12,551,530","909,284","4,956,010","29,699,846",$1.08,"4,318,011","612,362","25,637"
582,8/16/2015,"12,680,252","12,998,327","1,143,365","5,114,912","31,936,856",$1.05,"4,342,839","703,542","68,531"
583,8/9/2015,"13,003,371","13,926,693","1,014,521","5,310,327","33,254,912",$1.05,"4,391,462","888,238","30,628"
584,8/2/2015,"12,115,234","12,219,014","984,703","5,039,517","30,358,468",$1.09,"4,322,985","689,176","27,356"
585,7/26/2015,"12,196,226","12,009,228","1,017,158","5,429,599","30,652,211",$1.07,"4,627,252","779,808","22,540"
586,7/19/2015,"12,742,760","12,605,457","1,154,897","5,821,533","32,324,648",$1.07,"4,757,799","1,013,834","49,900"
587,7/12/2015,"12,384,449","12,403,360","980,362","5,891,860","31,660,032",$1.07,"5,067,198","796,786","27,876"
588,7/5/2015,"15,643,939","14,213,650","1,342,466","6,743,615","37,943,670",$1.04,"5,803,954","905,205","34,456"
589,6/28/2015,"13,299,569","11,505,999","1,045,833","6,557,305","32,408,706",$1.06,"5,690,216","846,752","20,337"
590,6/21/2015,"14,699,605","13,244,467","1,326,423","6,464,120","35,734,614",$1.02,"5,517,910","898,027","48,183"
591,6/14/2015,"16,383,685","12,821,015","1,085,082","6,736,304","37,026,086",$0.98,"5,893,642","822,400","20,263"
592,6/7/2015,"16,529,798","12,582,265","1,144,716","6,293,217","36,549,996",$1.00,"5,304,563","943,996","44,658"
593,5/31/2015,"15,503,613","11,599,634","903,908","5,713,003","33,720,159",$1.03,"4,967,232","726,046","19,726"
594,5/24/2015,"16,000,108","12,513,821","899,780","5,930,474","35,344,183",$1.04,"5,094,263","815,629","20,582"
595,5/17/2015,"14,615,942","11,003,341","963,550","5,444,854","32,027,686",$1.06,"4,747,545","660,984","36,326"
596,5/10/2015,"16,215,329","13,509,065","858,145","5,818,348","36,400,887",$1.02,"4,991,626","816,629","10,093"
597,5/3/2015,"17,787,612","16,602,589","1,118,330","5,783,174","41,291,704",$0.96,"4,647,155","1,110,987","25,031"
598,4/26/2015,"13,833,715","10,867,403","889,732","5,303,307","30,894,158",$1.07,"4,584,203","687,179","31,924"
599,4/19/2015,"14,251,319","12,277,859","1,016,631","5,545,447","33,091,256",$1.03,"4,696,225","819,935","29,287"
600,4/12/2015,"14,793,354","11,210,544","807,942","5,234,561","32,046,402",$1.02,"4,400,469","826,567","7,525"
601,4/5/2015,"13,939,014","11,526,980","871,981","5,162,693","31,500,669",$1.06,"4,477,300","666,515","18,879"
602,3/29/2015,"12,524,637","11,541,041","811,273","5,105,697","29,982,648",$1.04,"4,487,887","610,349","7,461"
603,3/22/2015,"13,697,406","12,659,785","1,066,386","5,089,974","32,513,551",$1.01,"4,275,071","762,528","52,375"
604,3/15/2015,"13,149,989","10,634,071","871,575","4,916,591","29,572,226",$1.04,"4,287,622","614,905","14,065"
605,3/8/2015,"13,013,750","10,973,973","834,009","5,272,967","30,094,699",$1.02,"4,583,727","673,149","16,091"
606,3/1/2015,"13,282,223","13,733,124","1,070,576","4,908,091","32,994,014",$0.97,"4,129,139","725,218","53,734"
607,2/22/2015,"12,628,562","11,354,282","937,139","5,016,747","29,936,730",$1.02,"4,336,247","667,149","13,351"
608,2/15/2015,"12,626,615","9,783,490","845,654","4,756,763","28,012,521",$1.03,"4,096,226","648,632","11,904"
609,2/8/2015,"13,308,193","13,381,348","737,939","4,709,853","32,137,333",$0.95,"4,022,475","673,454","13,924"
610,2/1/2015,"18,933,038","18,956,480","1,381,516","5,384,428","44,655,462",$0.89,"4,216,452","1,121,076","46,899"
611,1/25/2015,"12,167,445","10,734,653","768,020","4,800,193","28,470,311",$1.04,"3,978,637","812,925","8,631"
612,1/18/2015,"11,858,139","11,701,948","831,302","4,652,070","29,043,459",$1.03,"3,873,041","771,093","7,935"
613,1/11/2015,"11,544,811","12,134,773","866,575","4,517,384","29,063,543",$1.01,"3,783,261","718,334","15,789"
614,1/4/2015,"12,357,161","13,624,083","844,093","4,498,940","31,324,278",$0.95,"3,585,322","894,946","18,673"
615,12/25/2016,"9,255,125","10,282,926","541,972","10,207,830","30,287,854",$1.00,"7,709,584","2,417,145","81,101"
616,12/18/2016,"9,394,066","10,339,168","427,872","9,422,776","29,583,883",$0.96,"6,970,320","2,358,444","94,012"
617,12/11/2016,"9,009,996","9,967,220","403,048","10,713,277","30,093,541",$0.98,"8,149,439","2,490,495","73,343"
618,12/4/2016,"11,043,351","9,908,983","428,010","10,240,878","31,621,222",$1.00,"7,187,023","2,988,505","65,351"
619,11/27/2016,"7,891,488","7,337,342","344,476","7,349,757","22,923,063",$1.21,"5,691,267","1,609,867","48,623"
620,11/20/2016,"8,531,161","8,033,511","407,568","8,017,464","24,989,703",$1.27,"6,207,080","1,765,674","44,709"
621,11/13/2016,"8,235,135","7,759,608","477,521","7,602,862","24,075,126",$1.36,"5,602,594","1,957,164","43,104"
622,11/6/2016,"7,804,253","7,126,936","505,349","7,098,160","22,534,698",$1.44,"5,245,067","1,812,174","40,919"
623,10/30/2016,"7,100,459","6,852,046","453,145","6,604,080","21,009,730",$1.43,"4,655,046","1,882,751","66,284"
624,10/23/2016,"7,579,629","8,104,522","452,384","8,616,979","24,753,514",$1.34,"6,508,667","2,016,513","91,799"
625,10/16/2016,"8,810,664","8,855,073","447,291","9,594,018","27,707,047",$1.30,"6,934,369","2,575,096","84,553"
626,10/9/2016,"9,552,502","9,579,339","490,957","9,234,784","28,857,582",$1.27,"6,849,127","2,316,378","69,279"
627,10/2/2016,"9,534,916","9,123,898","490,123","10,466,072","29,615,008",$1.23,"7,408,766","2,981,276","76,031"
628,9/25/2016,"10,548,061","9,255,914","492,604","10,008,534","30,305,113",$1.22,"7,440,445","2,476,401","91,688"
629,9/18/2016,"11,337,829","9,481,313","486,187","10,040,762","31,346,091",$1.15,"7,649,502","2,311,263","79,997"
630,9/11/2016,"12,962,763","10,380,438","512,160","10,271,370","34,126,731",$1.08,"8,199,581","2,016,485","55,304"
631,9/4/2016,"14,643,466","11,083,513","540,681","10,863,029","37,130,689",$1.04,"8,555,284","2,214,419","93,326"
632,8/28/2016,"12,561,056","10,420,973","563,739","10,448,164","33,993,931",$1.09,"8,503,871","1,785,022","159,271"
633,8/21/2016,"12,725,249","9,906,499","609,721","10,350,629","33,592,098",$1.10,"8,749,239","1,446,381","155,009"
634,8/14/2016,"12,352,933","10,879,342","749,247","10,404,656","34,386,177",$1.12,"8,479,507","1,813,211","111,939"
635,8/7/2016,"12,197,105","10,731,380","754,549","10,136,876","33,819,909",$1.15,"8,386,276","1,569,550","181,049"
636,7/31/2016,"10,168,972","10,423,958","783,937","9,824,723","31,201,590",$1.23,"8,193,011","1,431,745","199,967"
637,7/24/2016,"10,331,314","10,795,751","947,964","10,264,348","32,339,377",$1.20,"8,315,739","1,561,209","387,400"
638,7/17/2016,"10,320,463","10,628,873","953,631","10,753,156","32,656,124",$1.15,"8,737,861","1,624,816","390,479"
639,7/10/2016,"11,457,080","11,677,528","1,266,434","11,166,526","35,567,568",$1.10,"8,984,514","1,727,669","454,344"
640,7/3/2016,"12,508,937","13,315,901","1,761,343","12,407,004","39,993,186",$1.06,"9,967,538","1,887,772","551,694"
641,6/26/2016,"12,189,035","12,029,919","1,624,942","10,773,128","36,617,024",$1.04,"8,834,970","1,609,569","328,589"
642,6/19/2016,"13,488,852","12,842,698","1,642,736","10,515,651","38,489,936",$1.02,"8,223,281","1,975,351","317,019"
643,6/12/2016,"12,291,687","11,533,970","1,607,344","10,147,819","35,580,820",$1.04,"8,039,866","1,796,514","311,440"
644,6/5/2016,"13,808,859","13,396,652","1,770,948","11,254,801","40,231,260",$0.97,"8,492,744","2,441,023","321,033"
645,5/29/2016,"13,682,611","13,829,591","1,583,496","10,923,377","40,019,075",$0.94,"8,085,657","2,657,599","180,121"
646,5/22/2016,"11,712,000","12,981,224","1,640,829","10,623,982","36,958,036",$0.93,"7,835,766","2,563,224","224,992"
647,5/15/2016,"12,447,598","14,437,190","1,753,853","11,276,356","39,914,997",$0.89,"7,987,029","3,143,280","146,047"
648,5/8/2016,"14,223,305","17,896,392","1,993,645","12,211,188","46,324,530",$0.82,"8,747,757","3,342,781","120,650"
649,5/1/2016,"13,748,944","15,899,858","1,414,364","11,804,441","42,867,609",$0.84,"8,376,124","3,365,582","62,735"
650,4/24/2016,"12,913,697","14,382,185","1,599,864","10,711,949","39,607,695",$0.87,"7,835,836","2,801,103","75,011"
651,4/17/2016,"11,954,488","12,896,367","1,896,150","10,720,882","37,467,885",$0.90,"8,128,710","2,467,002","125,169"
652,4/10/2016,"12,879,820","11,538,132","1,666,275","10,499,801","36,584,029",$0.90,"7,808,771","2,613,293","77,737"
653,4/3/2016,"11,320,970","11,512,622","1,731,910","9,102,948","33,668,451",$0.94,"6,830,380","2,213,379","59,189"
654,3/27/2016,"11,249,198","12,745,267","1,880,231","10,055,499","35,930,196",$0.94,"7,745,105","2,228,008","82,386"
655,3/20/2016,"11,134,391","13,727,454","1,773,089","9,700,550","36,335,484",$0.93,"7,248,858","2,374,054","77,639"
656,3/13/2016,"11,661,687","13,104,888","1,800,066","9,807,875","36,374,516",$0.93,"7,231,163","2,521,124","55,589"
657,3/6/2016,"11,824,155","12,196,587","1,686,475","9,357,289","35,064,506",$0.95,"7,502,570","1,747,904","106,815"
658,2/28/2016,"11,907,395","13,210,855","1,560,168","10,123,401","36,801,818",$0.91,"7,251,667","2,802,239","69,495"
659,2/21/2016,"10,015,825","12,003,752","1,375,260","9,409,896","32,804,733",$0.94,"7,213,493","2,150,749","45,654"
660,2/14/2016,"11,913,078","13,187,973","1,811,091","9,564,300","36,476,442",$0.88,"7,102,422","2,387,456","74,422"
661,2/7/2016,"16,573,574","20,470,573","2,546,439","12,698,112","52,288,698",$0.76,"9,083,373","3,373,078","241,661"
662,1/31/2016,"11,098,088","13,278,054","1,643,703","8,701,405","34,721,250",$0.93,"6,684,515","1,823,890","193,000"
663,1/24/2016,"7,020,459","14,054,368","1,440,380","10,271,872","32,787,079",$0.95,"7,438,490","2,668,368","165,015"
664,1/17/2016,"10,036,598","13,832,256","1,419,406","9,138,082","34,426,342",$0.94,"6,846,324","2,228,421","63,337"
665,1/10/2016,"11,441,287","13,226,089","1,282,613","9,314,348","35,264,336",$0.93,"6,735,384","2,528,089","50,874"
666,1/3/2016,"11,616,506","16,054,084","1,560,069","8,911,429","38,142,088",$0.86,"6,464,896","2,287,450","159,084"
667,12/31/2017,"13,109,617","13,197,461","644,838","11,315,426","38,267,342",$0.98,"8,092,355","3,098,374","124,697"
668,12/24/2017,"10,027,319","8,964,247","546,374","9,564,409","29,102,349",$1.18,"7,222,271","2,226,794","115,344"
669,12/17/2017,"10,704,214","9,934,618","574,089","9,544,845","30,757,767",$1.07,"7,149,680","2,260,603","134,562"
670,12/10/2017,"11,943,915","11,659,898","398,349","11,632,752","35,634,913",$1.03,"8,404,955","3,122,650","105,147"
671,12/3/2017,"11,746,980","10,905,968","583,801","10,587,491","33,824,253",$1.09,"7,730,801","2,748,622","108,068"
672,11/26/2017,"9,175,316","7,312,239","379,637","7,819,483","24,686,675",$1.24,"5,571,801","2,156,887","90,795"
673,11/19/2017,"11,173,132","7,847,059","416,186","9,817,108","29,253,484",$1.17,"6,662,322","3,059,627","95,159"
674,11/12/2017,"11,512,837","9,994,648","416,643","10,412,097","32,336,225",$1.15,"7,277,327","3,044,847","89,923"
675,11/5/2017,"11,042,128","9,774,988","400,251","10,834,227","32,051,594",$1.19,"7,470,394","3,275,463","88,369"
676,10/29/2017,"10,596,903","9,803,570","424,756","9,412,683","30,237,911",$1.29,"6,602,082","2,747,520","63,081"
677,10/22/2017,"9,607,587","8,761,193","409,598","7,928,593","26,706,972",$1.44,"6,074,596","1,804,540","49,457"
678,10/15/2017,"8,769,358","8,534,404","392,119","7,335,708","25,031,589",$1.58,"5,387,869","1,893,511","54,328"
679,10/8/2017,"8,911,144","7,609,510","391,833","7,484,679","24,397,166",$1.65,"5,444,021","1,976,739","63,919"
680,10/1/2017,"8,342,408","8,354,516","384,794","7,528,927","24,610,645",$1.64,"5,513,112","1,954,129","61,686"
681,9/24/2017,"8,652,381","8,295,762","385,005","7,304,000","24,637,148",$1.62,"5,442,167","1,792,565","69,269"
682,9/17/2017,"9,153,159","8,328,242","417,271","7,496,232","25,394,903",$1.57,"5,494,164","1,923,561","78,507"
683,9/10/2017,"9,496,485","8,373,234","487,927","8,027,435","26,385,081",$1.56,"6,035,666","1,818,832","172,937"
684,9/3/2017,"9,775,063","8,565,266","541,903","7,926,179","26,808,411",$1.57,"5,851,814","1,855,970","218,395"
685,8/27/2017,"10,735,710","8,587,106","517,542","8,944,923","28,785,280",$1.47,"6,592,504","2,117,566","234,853"
686,8/20/2017,"10,507,929","8,837,219","581,074","9,987,522","29,913,744",$1.41,"6,837,126","2,911,554","238,841"
687,8/13/2017,"10,952,704","11,154,310","624,963","10,085,277","32,817,254",$1.33,"6,687,662","3,118,889","278,726"
688,8/6/2017,"11,292,580","10,988,314","665,313","9,583,714","32,529,920",$1.33,"6,889,926","2,376,270","317,518"
689,7/30/2017,"11,112,191","11,088,083","596,676","8,959,147","31,756,097",$1.32,"6,337,457","2,396,439","225,251"
690,7/23/2017,"11,391,056","11,339,580","612,242","9,265,423","32,608,302",$1.31,"6,333,888","2,636,616","294,918"
691,7/16/2017,"11,155,466","11,202,845","756,103","9,340,633","32,455,047",$1.33,"6,514,899","2,499,386","326,348"
692,7/9/2017,"13,009,944","11,031,218","821,964","14,504,209","39,367,336",$1.17,"11,112,406","3,018,280","373,523"
693,7/2/2017,"12,623,189","10,988,735","859,890","13,538,613","38,010,426",$1.21,"10,041,244","3,119,708","377,661"
694,6/25/2017,"12,901,032","10,805,962","655,966","12,942,348","37,305,308",$1.17,"9,462,413","3,202,254","277,681"
695,6/18/2017,"12,975,373","11,199,449","807,107","13,265,740","38,247,669",$1.18,"9,650,859","3,267,491","347,390"
696,6/11/2017,"13,490,546","10,090,861","648,411","12,810,036","37,039,854",$1.21,"9,373,422","3,128,713","307,901"
697,6/4/2017,"13,248,335","10,157,565","667,067","13,279,394","37,352,361",$1.24,"10,103,007","2,946,265","230,123"
698,5/28/2017,"12,841,952","10,932,971","673,385","12,582,586","37,030,894",$1.28,"9,312,239","3,013,459","256,887"
699,5/21/2017,"12,120,949","10,213,232","621,604","11,441,867","34,397,651",$1.26,"8,508,442","2,718,685","214,740"
700,5/14/2017,"12,807,836","9,717,258","652,973","13,456,202","36,634,269",$1.19,"10,373,348","2,859,414","223,441"
701,5/7/2017,"17,076,651","13,549,103","863,472","15,804,696","47,293,922",$1.09,"11,228,050","4,324,231","252,415"
702,4/30/2017,"13,316,594","11,291,149","667,997","13,039,760","38,315,500",$1.18,"9,463,811","3,378,924","197,026"
703,4/23/2017,"12,236,713","10,224,484","613,507","12,654,309","35,729,014",$1.18,"9,051,467","3,434,847","167,995"
704,4/16/2017,"12,311,055","10,069,354","650,017","12,151,894","35,182,321",$1.23,"9,399,105","2,544,943","207,847"
705,4/9/2017,"12,091,315","10,821,096","647,969","11,225,332","34,785,713",$1.21,"8,946,793","2,098,143","180,396"
706,4/2/2017,"12,245,521","9,733,585","624,710","11,864,202","34,468,017",$1.21,"9,385,516","2,330,300","148,386"
707,3/26/2017,"11,737,560","9,664,311","611,106","10,542,143","32,555,119",$1.24,"8,498,318","1,844,372","199,454"
708,3/19/2017,"10,975,690","9,622,712","638,218","10,358,506","31,595,125",$1.25,"8,202,242","2,000,176","156,087"
709,3/12/2017,"11,228,357","9,575,227","727,233","10,489,756","32,020,574",$1.22,"8,207,585","2,124,294","157,877"
710,3/5/2017,"11,335,276","10,807,890","795,173","10,745,837","33,684,175",$1.13,"8,302,601","2,322,677","120,559"
711,2/26/2017,"13,173,668","11,398,143","896,762","11,539,225","37,007,798",$0.99,"8,945,889","2,405,734","187,602"
712,2/19/2017,"11,321,732","10,351,148","832,906","11,400,068","33,905,855",$0.99,"8,676,990","2,576,167","146,912"
713,2/12/2017,"15,051,952","12,184,188","862,322","12,979,009","41,077,471",$0.87,"9,922,490","2,919,324","137,194"
714,2/5/2017,"22,743,616","20,328,162","1,664,383","16,298,296","61,034,457",$0.77,"12,567,156","3,618,271","112,870"
715,1/29/2017,"14,034,076","11,683,465","818,727","12,837,312","39,373,579",$0.96,"9,918,256","2,799,961","119,096"
716,1/22/2017,"14,254,150","14,212,882","908,616","12,764,745","42,140,393",$0.94,"9,462,854","3,231,020","70,871"
717,1/15/2017,"12,936,858","12,625,665","579,347","12,153,618","38,295,488",$0.98,"9,445,622","2,638,918","69,078"
718,1/8/2017,"11,809,728","13,856,935","539,068","11,844,072","38,049,803",$0.99,"9,332,972","2,432,259","78,841"
719,1/1/2017,"12,707,895","14,201,201","549,845","11,420,777","38,879,717",$0.89,"8,551,134","2,802,709","66,934"
